parameter,variation,utilization,revenue_share,coverage_ratio,collateral_ratio,lp_ratio
baseline,0.0,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
mu,-0.15,0.7249728957396204,0.5454100335632568,7.249728957396204e-06,0.30303030303030304,1e-05
mu,0.15,0.6720532816704485,0.4928244108694533,6.720532816704486e-06,0.0909090909090909,1e-05
theta,-0.15,0.4330598452324075,0.2953919634247293,4.330598452324075e-06,0.5,1e-05
theta,0.15,0.0,0.1293088378185225,0.0,0.0,1e-05
xi,-0.15,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
xi,0.15,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
alpha,-0.15,3.2796380874254965e-06,0.28865588511031387,6.559276174850993e-06,0.1313131313131313,2.0
alpha,0.15,0.7069199654581059,0.5207740640730912,7.0691996545810585e-06,0.16666666666666666,1e-05
beta,-0.15,0.6713712058291723,0.5445434253345288,6.713712058291723e-06,0.1414141414141414,1e-05
beta,0.15,0.7327797379116249,0.5087085370176246,7.327797379116249e-06,0.18686868686868685,1e-05
delta,-0.15,0.7069199654581059,0.5268054880220125,7.0691996545810585e-06,0.16666666666666666,1e-05
delta,0.15,0.7001218473138219,0.5237732254167775,7.001218473138218e-06,0.1616161616161616,1e-05
u_target,-0.15,0.5631741299761908,0.4837199919098024,5.631741299761908e-06,0.0808080808080808,1e-05
u_target,0.15,0.773756178109761,0.5370769786472434,7.73756178109761e-06,0.22222222222222224,1e-05
r_market,-0.15,0.7201034212345215,0.5404413453301814,7.201034212345215e-06,0.17676767676767677,1e-05
r_market,0.15,0.6860755005482064,0.5064541452201387,6.860755005482064e-06,0.15151515151515152,1e-05
r_pool,-0.15,0.6788103272801822,0.49936483248928354,6.788103272801821e-06,0.14646464646464646,1e-05
r_pool,0.15,0.7201034212345215,0.5404413453301814,7.201034212345215e-06,0.17676767676767677,1e-05
rho,-0.15,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
rho,0.15,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
lambda_hack,-0.15,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
lambda_hack,0.15,0.7069199654581059,0.5271209878515156,7.0691996545810585e-06,0.16666666666666666,1e-05
